y,x,opp_fga,opp_fg,opp_pts,opp_ssce,opp_prla,dist
47.5,67.5,1.0,0.0,0.0,-0.689,-0.689,7.91
47.5,72.5,0.0,0.0,0.0,-0.682,0.0,8.32
52.5,-72.5,0.0,0.0,0.0,-0.697,0.0,9.01
52.5,-67.5,0.0,0.0,0.0,-0.931,0.0,8.6
52.5,-62.5,2.0,1.0,3.0,0.726,1.452,8.2
52.5,-57.5,5.0,0.0,0.0,-0.728,-3.641,7.81
52.5,-52.5,7.0,4.0,12.0,0.705,4.937,7.43
52.5,-47.5,0.0,0.0,0.0,-0.81,0.0,7.07
52.5,-42.5,0.0,0.0,0.0,-0.903,0.0,6.73
52.5,-37.5,0.0,0.0,0.0,-0.864,0.0,6.4
52.5,-32.5,0.0,0.0,0.0,-0.846,0.0,6.1
52.5,-27.5,2.0,1.0,2.0,0.229,0.459,5.83
52.5,-22.5,0.0,0.0,0.0,-0.706,0.0,5.59
52.5,-17.5,1.0,0.0,0.0,-0.709,-0.709,5.39
52.5,-12.5,0.0,0.0,0.0,-0.746,0.0,5.22
52.5,-7.5,2.0,1.0,2.0,0.256,0.513,5.1
52.5,-2.5,0.0,0.0,0.0,-0.878,0.0,5.02
52.5,2.5,1.0,0.0,0.0,-0.637,-0.637,5.0
52.5,7.5,1.0,1.0,2.0,1.155,1.155,5.02
52.5,12.5,2.0,1.0,2.0,0.278,0.556,5.1
