player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg,f2,f2a,f3,f3a,f2p,f3p,fgp,efg,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
J. Gallego,NU,-0.136,-8.849,0.813,52.849,0.677,44,65,20,16,50,4,15,32,26.7,30.8,33.8,56,-0.134630769230769,0.105705641752989,-0.374967180214528,0.240336410983759,0.801433138952125,0.895227981551138,0.119629871072055,-1.12539425165542,2.009,TRUE,45.0938475076923,17,-22,30.357,2.896
F. Serrano,DLSU,-0.102,-9.051,0.933,83.051,0.831,74,89,33,25,61,8,28,41,28.6,37.1,41.6,61,-0.100966292134831,0.150000952693426,-0.351933536963089,0.250967244828257,0.960514509144468,0.980058421291541,0.125483622414129,-0.804617289430938,2,TRUE,58.2527162696629,25,-11,40.984,4.259
T. Ravena,ADMU,-0.065,-9.081,0.936,130.081,0.871,121,139,54,41,92,13,47,44.6,27.7,38.8,43.5,87,-0.0658417266187051,0.121550093669334,-0.253233546906744,0.187391820288039,0.771461681534612,0.878328914208459,0.094166743863336,-0.699203603283353,1.99,TRUE,66.7228611798561,30,-27,34.483,5.111
M. Maloles,UE,-0.218,-9.149,0.908,38.149,0.69,29,42,12,7,17,5,25,41.2,20,28.6,34.5,37,-0.218238095238095,0.136201764877826,-0.572677955354016,0.354439860115921,1.13803130813807,1.0667855024034,0.175378456267155,-1.2443837166958,2.021,TRUE,42.7313581428571,9,-19,24.324,1.533
Z. Huang,UST,-0.091,-9.242,0.893,90.242,0.802,81,101,40,39,90,1,11,43.3,9.1,39.6,40.1,71,-0.0903960396039604,0.104191057781123,-0.284983136989043,0.194587097385083,0.67613920781436,0.822276843778517,0.0975863076153877,-0.92631888440983,1.994,TRUE,47.9099170693069,29,-13,40.845,4.94
J. Manuel,DLSU,-0.204,-9.378,0.9,41.378,0.696,32,46,13,7,27,6,19,25.9,31.6,28.3,34.8,40,-0.205152173913043,0.12887382344346,-0.539178171269547,0.334025997356504,1.09918407881344,1.04841980084956,0.165769725735238,-1.23757322395952,2.015,TRUE,44.5516756521739,13,-14,32.5,2.215
A. Joson,NU,-0.207,-10.561,0.991,50.561,0.784,40,51,19,17,41,2,10,41.5,20,37.3,39.2,38,-0.206274509803922,0.0878229458789357,-0.500371965486779,0.294097455682857,0.804699078940532,0.897050209821352,0.145520759862869,-1.41749197845245,2.021,TRUE,31.3907345098039,14,-10,36.842,2.385
K. Montalbo,DLSU,-0.202,-12.322,0.874,53.322,0.672,41,61,19,16,37,3,24,43.2,12.5,31.1,33.6,49,-0.205131147540984,0.065374313252457,-0.475636608334424,0.270505460793441,0.883075940775329,0.939721203748925,0.134245886249846,-1.52802557509443,2.015,TRUE,44.4495057540984,14,-21,28.571,2.385
C. Catapusan,ADU,-0.312,-13.381,0.986,42.381,0.674,29,43,14,13,37,1,6,35.1,16.7,32.6,33.7,36,-0.310162790697674,-0.00298318648895007,-0.617342394906399,0.307179604208724,0.831676876396508,0.911963199036292,0.151993866506049,-2.04062701888916,2.021,TRUE,32.5719251162791,10,-16,27.778,1.704
J. Manzo,UP,-0.141,-13.449,0.953,91.449,0.812,78,96,37,33,74,4,22,44.6,18.2,38.5,40.6,62,-0.138479166666667,0.0537008277259943,-0.330659161059328,0.192179994392661,0.57246382879383,0.756613394537679,0.0960899971963305,-1.44114029250856,2,TRUE,36.1092352916667,20,-22,32.258,3.407
E. Mojica,ADU,-0.378,-13.601,0.878,31.601,0.5,18,36,7,3,11,4,25,27.3,16,19.4,25,32,-0.378222222222222,-0.0291693575846814,-0.727275086859763,0.349052864637541,0.95455237913182,0.97701196468202,0.172712946381762,-2.18988923613292,2.021,TRUE,34.1687893333333,7,-18,21.875,1.193
W. Navarro,ADMU,-0.227,-14.983,0.879,57.983,0.652,43,66,21,20,42,1,24,47.6,4.2,31.8,32.6,53,-0.227787878787879,-0.000936975590617284,-0.45463878198514,0.226850903197261,0.675767064861906,0.822050524518965,0.112917323642241,-2.01729789053083,2.009,TRUE,37.8899152121212,16,-21,30.189,2.726
R. Escoto,FEU,-0.164,-15.271,0.906,84.271,0.742,69,93,34,33,75,1,18,44,5.6,36.6,37.1,71,-0.16541935483871,0.0297721591205289,-0.360610868797948,0.195191513959239,0.680346109954908,0.82483095841203,0.0978894252553854,-1.68985929181977,1.994,TRUE,49.5670406666667,24,-23,33.803,4.089
A. Wong,ADMU,-0.4,-18.778,0.868,40.778,0.468,22,47,9,5,15,4,32,33.3,12.5,19.1,23.4,42,-0.400297872340426,-0.124566352936568,-0.676029391744283,0.275731519403857,0.786451630955404,0.886821081704424,0.136839463723999,-2.92531015137428,2.015,TRUE,38.974529106383,7,-28,16.667,1.193
J. Parker,FEU,-0.209,-19.624,0.89,83.624,0.681,64,94,29,23,68,6,26,33.8,23.1,30.9,34,79,-0.208936170212766,0.00473243656853281,-0.422604776994065,0.213668606781299,0.907106376397256,0.9524213229434,0.107155770702758,-1.94983591497223,1.994,TRUE,74.202988893617,23,-33,29.114,3.918
S. Ildefonso,NU,-0.222,-19.996,0.944,84.996,0.722,65,90,32,31,82,1,8,37.8,12.5,35.6,36.1,57,-0.223511111111111,-0.0424775167211662,-0.404544705501056,0.181033594389945,0.462842606719577,0.680325368275781,0.0901112963613464,-2.48038947541972,2.009,TRUE,28.7667473333333,11,-35,19.298,1.874
P. Sarr,ADU,-0.157,-23.025,0.897,131.025,0.74,108,146,54,54,144,,2,37.5,0,37,37,74,-0.158486301369863,-0.00560535093742956,-0.311367251802297,0.152880950432433,0.434998901010753,0.659544464771521,0.0766704866762455,-2.06710963032098,1.994,TRUE,33.6136449452055,28,-18,37.838,4.77
P. Manalang,UE,-0.172,-23.265,0.935,126.265,0.763,103,135,44,29,77,15,58,37.7,25.9,32.6,38.1,93,-0.172377777777778,0.0180421797321313,-0.362797735287687,0.190419957509909,0.854106726505636,0.924178947231344,0.0958328925565723,-1.79873291079072,1.987,TRUE,81.3412299777778,27,-39,29.032,4.6
K. Zamora,UST,-0.352,-26.767,0.865,65.767,0.513,39,76,14,3,12,11,64,25,17.2,18.4,25.7,56,-0.35225,-0.111845073111458,-0.592654926888542,0.240404926888542,0.801890154545455,0.895483196126792,0.119663975554277,-2.94365951296869,2.009,TRUE,51.052442,10,-36,17.857,1.704
